股票,通道周期,累计回报,年化收益率,年化波动率,最大回撤,夏普比率,交易次数,胜率
寒武纪（688256.SH）,10,12.88%,13.72%,22.32%,-17.44%,0.53,8,25.0%
寒武纪（688256.SH）,20,21.75%,23.92%,23.08%,-11.09%,0.95,3,66.7%
寒武纪（688256.SH）,30,13.13%,15.12%,20.30%,-10.97%,0.65,2,100.0%
寒武纪（688256.SH）,50,2.56%,3.24%,15.53%,-10.86%,0.08,1,100.0%
宁德时代（300750.SZ）,10,2.72%,2.80%,11.25%,-10.19%,0.07,7,28.6%
宁德时代（300750.SZ）,20,4.99%,5.29%,9.62%,-7.54%,0.34,3,66.7%
宁德时代（300750.SZ）,30,5.22%,5.78%,10.36%,-5.69%,0.36,2,50.0%
宁德时代（300750.SZ）,50,-2.25%,-2.73%,8.65%,-6.99%,-0.55,2,50.0%
贵州茅台（600519.SH）,10,-10.87%,-11.18%,6.45%,-12.21%,-2.04,7,14.3%
贵州茅台（600519.SH）,20,-6.21%,-6.55%,7.01%,-6.21%,-1.22,3,0.0%
贵州茅台（600519.SH）,30,-4.26%,-4.70%,3.23%,-4.63%,-2.08,2,0.0%
贵州茅台（600519.SH）,50,-4.37%,-5.28%,2.59%,-4.42%,-2.82,2,0.0%
